question,answer,context,reference
O que é o IFSP?,"O IFSP é uma instituição de educação superior, básica e profissional, pluricurricular e multicampi, especializada na oferta de educação profissional e tecnológica nas diferentes modalidades de ensino.","Art 1º - O INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO – IFSP, com sede e foro na cidade de São Paulo, criado nos termos da Lei nº. 11.892, de 29 de dezembro de 2008, constitui-se em autarquia federal, vinculada ao Ministério da Educação, detentora de autonomia administrativa, patrimonial, financeira, didático-pedagógica e disciplinar. §2º- O IFSP é uma instituição de educação superior, básica e profissional, pluricurricular e multicampi, especializada na oferta de educação profissional e tecnológica nas diferentes modalidades de ensino, com base na conjugação de conhecimentos técnicos e tecnológicos com a sua prática pedagógica, nos termos da lei.","Estatuto, Título I, Capítulo I, Art 1º"
Qual é o limite de atuação territorial do IFSP?,O limite de atuação territorial do IFSP é circunscrito ao Estado de São Paulo.,"§ 4º- O IFSP possui limite de atuação territorial para criar e extinguir cursos, bem como para registrar diplomas dos cursos por ele oferecidos, circunscrito ao Estado de São Paulo, aplicando-se, no caso de oferta de ensino a distância, legislação específica.","Estatuto, Título I, Capítulo I, Art 1º"
Quais são os instrumentos normativos que regem o IFSP?,"Os instrumentos normativos que regem o IFSP são o Estatuto, o Regimento-Geral, o Regimento dos campi e os Atos Administrativos do IFSP.","Art 2º - O IFSP rege-se pelos atos normativos mencionados no caput do Art 1º -, pela legislação federal e pelos seguintes instrumentos normativos: I - Estatuto. II - Regimento-Geral. III - Regimento dos campi. IV - Atos Administrativos do IFSP.","Estatuto, Título I, Capítulo I, Art 2º"
O que é a Reitoria do IFSP?,"A Reitoria do IFSP é a sede do IFSP, situada na Rua Pedro Vicente, 625, Canindé, São Paulo.","§1º- O IFSP é domiciliado na sede de sua Reitoria, situada na Rua Pedro Vicente, 625, Canindé, São Paulo.","Estatuto, Título I, Capítulo I, Art 1º"
Quantos campi o IFSP tem?,O IFSP tem 31 campi.,"Tem como sedes, para os fins da legislação educacional: I - Reitoria, no endereço citado no §1º. II - Campus São Paulo, situado na Rua Pedro Vicente, 625, Canindé, São Paulo. ... XXXI - Núcleo Avançado de Assis, situado na Avenida Getúlio Vargas nº 1200, Vila Nova Santana, Assis.","Estatuto, Título I, Capítulo I, Art 1º"
Quais são os princípios norteadores do IFSP?,"Os princípios norteadores do IFSP são o compromisso com a justiça social, a equidade, a cidadania, a ética, a preservação do meio ambiente, a transparência e a gestão democrática.","Art 4º - O IFSP, em sua atuação, observa os seguintes princípios norteadores: I - compromisso com a justiça social, a equidade, a cidadania, a ética, a preservação do meio ambiente, a transparência e a gestão democrática;","Estatuto, Título I, Capítulo II, Art 4º"
Quais são as finalidades do IFSP?,"As finalidades do IFSP são ofertar educação profissional e tecnológica, desenvolver a educação profissional e tecnológica como processo educativo e investigativo, promover a integração e a verticalização da educação básica à educação profissional e educação superior, entre outras.","Art 5º - O IFSP tem as seguintes finalidades e características: I - ofertar educação profissional e tecnológica, em todos os seus níveis e modalidades, formando e qualificando cidadãos com vistas à atuação profissional nos diversos setores da economia, com ênfase no desenvolvimento socioeconômico local, regional e nacional;","Estatuto, Título I, Capítulo II, Art 5º"
Quais são os objetivos do IFSP?,"Os objetivos do IFSP são ministrar educação profissional técnica de nível médio, ministrar cursos de formação inicial e continuada de trabalhadores, realizar pesquisas, desenvolver atividades de extensão, entre outros.","Art 6º - O IFSP tem os seguintes objetivos: I - ministrar educação profissional técnica de nível médio, prioritariamente na forma de cursos integrados, para os concluintes do ensino fundamental e para o público da Educação de Jovens e Adultos;","Estatuto, Título I, Capítulo II, Art 6º"
Quais são as características do IFSP?,"As características do IFSP são a oferta de educação profissional e tecnológica, a integração e a verticalização da educação básica à educação profissional e educação superior, a promoção da produção, desenvolvimento e difusão de conhecimentos científicos e tecnológicos, entre outras.",Art 5º - O IFSP tem as seguintes finalidades e características: II - desenvolver a educação profissional e tecnológica como processo educativo e investigativo de geração e adaptação de soluções técnicas e tecnológicas às demandas sociais e peculiaridades regionais;,"Estatuto, Título I, Capítulo II, Art 5º"
Quais são as áreas de atuação do IFSP?,"As áreas de atuação do IFSP são a educação profissional e tecnológica, a educação superior, a pesquisa, a extensão, a produção, desenvolvimento e difusão de conhecimentos científicos e tecnológicos, entre outras.","Art 6º - O IFSP tem os seguintes objetivos: III - realizar pesquisas, estimulando o desenvolvimento de soluções técnicas e tecnológicas, estendendo seus benefícios à comunidade;","Estatuto, Título I, Capítulo II, Art 6º"
Quais são os órgãos superiores do IFSP?,Conselho Superior e Colégio de Dirigentes,Art 9º - A administração do IFSP terá como órgãos superiores o Conselho Superior e o Colégio de Dirigentes.,"Estatuto, Título I, Capítulo III, Art 9º"
Quais são os órgãos executivos do IFSP?,"Reitoria, composta por um Reitor e cinco Pró-Reitores","Art 10 - O IFSP terá como órgão executivo a Reitoria, composta por um Reitor e cinco Pró-Reitores.","Estatuto, Título I, Capítulo III, Art 10"
Quais são os requisitos para ser nomeado Pró-Reitor?,"Ser servidor ocupante de cargo efetivo da carreira docente ou de cargo efetivo de nível superior da carreira dos técnicos administrativos do Plano de Carreira dos Cargos Técnico-Administrativos em Educação, com pelo menos cinco anos de efetivo exercício em instituição federal de educação profissional e tecnológica.","§1º- Poderão ser nomeados como Pró-Reitores os servidores ocupantes de cargo efetivo da carreira docente ou de cargo efetivo de nível superior da carreira dos técnicos administrativos do Plano de Carreira dos Cargos Técnico-Administrativos em Educação, desde que possuam o mínimo de cinco anos de efetivo exercício em instituição federal de educação profissional e tecnológica.","Estatuto, Título I, Capítulo III, Art 10, §1º"
Onde fica a sede da Reitoria do IFSP?,Na cidade de São Paulo,"§2º- A Reitoria, como órgão de administração central, terá sua sede na cidade de São Paulo e poderá ser instalada em espaço físico distinto do Campus São Paulo.","Estatuto, Título I, Capítulo III, Art 10, §2º"
Quais são os órgãos descentralizados do IFSP?,"Campi, Polos de Educação a Distância, Núcleos Avançados e Unidades de Educação Profissional (UEP)","IV - ÓRGÃOS DESCENTRALIZADOS a) Campi, que para fins da legislação educacional, são considerados sedes. 1. Órgão Superior do Campus: Conselho de Campus; 2. Órgão Executivo: Diretoria-Geral. b) Polos de Educação a Distância; c) Núcleos Avançados; d) Unidades de Educação Profissional (UEP).","Estatuto, Título I, Capítulo III, Art 8º, IV"
Quais são os órgãos colegiados do IFSP?,"Os Órgãos Colegiados correspondem aos Conselhos de Ensino, de Pesquisa e Inovação, e de Extensão.","Art 19 - Os Órgãos Colegiados correspondem aos Conselhos de Ensino, de Pesquisa e Inovação, e de Extensão.","Estatuto, Título II - DA GESTÃO, Capítulo II DOS ÓRGÃOS COLEGIADOS, Art 19"
Quem é o responsável por dirigir o IFSP?,O Reitor,"Art 20 - O IFSP será dirigido por um Reitor, escolhido em processo eletivo pelos servidores do quadro ativo permanente (docentes e técnicos administrativos) e pelos estudantes regularmente matriculados, nomeado na forma da legislação vigente, para um mandato de quatro anos, contados da data da posse, permitida uma recondução.","Estatuto, Título II, Capítulo III, Art 20"
Quais são as competências do Reitor?,"Representar o IFSP, administrar, gerir, coordenar e superintender as atividades da Instituição","Art 21 - Ao Reitor compete representar o IFSP, em juízo ou fora dele, bem como administrar, gerir, coordenar e superintender as atividades da Instituição.","Estatuto, Título II, Capítulo III, Art 21"
Quais são os órgãos que compõem a Reitoria?,"Gabinete, Pró-Reitorias, Órgãos de Apoio e Procuradoria Jurídica","Art 25 - O Gabinete, dirigido por um chefe nomeado pelo Reitor, é o órgão responsável por organizar, assistir, coordenar, fomentar e articular a ação política e administrativa da Reitoria. Art 27 - As Pró-Reitorias, dirigidas por Pró-Reitores nomeados pelo Reitor, são órgãos executivos que planejam, definem, acompanham e avaliam as atividades e as políticas relacionadas às seguintes dimensões: ... Art 28 - Os órgãos de apoio são constituídos por Comissões definidas por Regulamento próprio e/ou legislação vigente, ... Art 29 - A Procuradoria Jurídica do IFSP é órgão de execução integrante da Procuradoria-Geral Federal, vinculado à Reitoria e à Procuradoria Federal no Estado de São Paulo, ...","Estatuto, Título II, Capítulo III, Art 25, 27, 28 e 29"
Quais são as dimensões das Pró-Reitorias?,"Ensino, Extensão, Pesquisa, Inovação e Pós-graduação, Administração e Desenvolvimento Institucional","Art 27 - As Pró-Reitorias, dirigidas por Pró-Reitores nomeados pelo Reitor, são órgãos executivos que planejam, definem, acompanham e avaliam as atividades e as políticas relacionadas às seguintes dimensões: ...","Estatuto, Título II, Capítulo III, Art 27"
Quem assume a Reitoria em caso de vacância do cargo de Reitor?,O substituto legal designado na forma da legislação pertinente,"Art 22 - A vacância do cargo de Reitor decorrerá de: ... Parágrafo Único - Nos casos de vacância previstos no caput deste artigo, assumirá a Reitoria o seu substituto legal, designado na forma da legislação pertinente, com a incumbência de promover no prazo máximo de 90 dias o processo de consulta à comunidade para eleição do novo Reitor.","Estatuto, Título II, Capítulo III, Art 22"
Como são definidos os órgãos descentralizados do IFSP?,"Os órgãos descentralizados do IFSP têm sua estrutura, composição, competências, organização e funcionamento definidos e regulados em regulamento próprio aprovado por resolução do Conselho Superior.","Art 30 - Os órgãos descentralizados correspondentes ao inciso IV do Art 8º - terão sua estrutura, composição, competências, organização e funcionamento definidos e regulados em regulamento próprio aprovado por resolução do Conselho Superior.","Estatuto, Título II, Capítulo IV, Art 30"
Quem escolhe e nomeia os Diretores-Gerais dos órgãos descentralizados do IFSP?,Os Diretores-Gerais são escolhidos e nomeados de acordo com o que determina o art. 13 da Lei n.º 11.892/2008.,"Parágrafo único. Os Diretores-Gerais são escolhidos e nomeados de acordo com o que determina o art. 13 da Lei n.º 11.892/2008, para mandato de quatro anos, contados da data da posse, permitida uma recondução.","Estatuto, Título II, Capítulo IV, Art 30, Parágrafo único"
Quais são os princípios que norteiam o currículo do IFSP?,"Os princípios que norteiam o currículo do IFSP são a estética, a sensibilidade, a política da igualdade, a ética, a identidade, a interdisciplinaridade, a contextualização, a flexibilidade e a educação como processo de formação na vida e para a vida.","Art 31 - O currículo do IFSP está fundamentado em bases filosóficas, epistemológicas, metodológicas, socioculturais e legais, expressas no seu projeto político-institucional, sendo norteado pelos princípios da estética, da sensibilidade, da política da igualdade, da ética, da identidade, da interdisciplinaridade, da contextualização, da flexibilidade e da educação como processo de formação na vida e para a vida, a partir de uma concepção de sociedade, trabalho, cultura, educação, tecnologia e ser humano.","Estatuto, Título III, Capítulo I, Art 31"
Quais são as ofertas educacionais do IFSP?,"As ofertas educacionais do IFSP estão organizadas por formação inicial e continuada de trabalhadores, educação profissional técnica de nível médio e educação superior de graduação e pós-graduação.","Art 32 - As ofertas educacionais do IFSP estão organizadas por formação inicial e continuada de trabalhadores, educação profissional técnica de nível médio e educação superior de graduação e pós-graduação.","Estatuto, Título III, Capítulo I, Art 32"
Qual é o objetivo das atividades de extensão no IFSP?,Apoiar o desenvolvimento social pela oferta de cursos e realização de atividades específicas.,Art 34 - As atividades de extensão têm como objetivo apoiar o desenvolvimento social pela oferta de cursos e realização de atividades específicas.,"Estatuto, Título III, Capítulo II, Art 34"
Como as ações de extensão se relacionam com o ensino e a pesquisa no IFSP?,As ações de extensão articulam o ensino e a pesquisa de forma indissociável.,"Art 33 - As ações de extensão constituem um processo educativo, cultural e científico que articula o ensino e a pesquisa de forma indissociável, para viabilizar uma relação transformadora entre o IFSP e a sociedade.","Estatuto, Título III, Capítulo II, Art 33"
Qual é o objetivo das atividades de pesquisa no IFSP?,"Formar recursos humanos para a investigação, a produção, o empreendedorismo e a difusão de conhecimentos culturais, artísticos, científicos e tecnológicos.","Art 36 - As atividades de pesquisa têm como objetivo formar recursos humanos para a investigação, a produção, o empreendedorismo e a difusão de conhecimentos culturais, artísticos, científicos e tecnológicos, sendo desenvolvidas em articulação com o ensino e a extensão, ao longo de toda a formação profissional.","Estatuto, Título III, Capítulo III, Art 36"
Quem compõe a comunidade acadêmica do IFSP?,"A comunidade acadêmica do IFSP é composta pelos corpos discente, docente e técnico-administrativo.","Art 37 - A comunidade acadêmica do IFSP é composta pelos corpos discente, docente e técnico-administrativo.","Estatuto, Título IV, Capítulo I, Art 37"
Quais são os direitos dos alunos que cumprem integralmente o currículo dos cursos e programas do IFSP?,Os alunos que cumprem integralmente o currículo dos cursos e programas farão jus a diploma ou certificado na forma e nas condições previstas na organização didática.,Art 38 - O corpo discente do IFSP é constituído por alunos matriculados nos diversos cursos e programas oferecidos pela Instituição. § 1º. Os alunos do IFSP que cumprirem integralmente o currículo dos cursos e programas farão jus a diploma ou certificado na forma e nas condições previstas na organização didática.,"Estatuto, Título IV, Capítulo I, Art 38"
Quais são os requisitos para os alunos participarem dos processos eletivos do IFSP?,"Somente os alunos com matrícula regular ativa nos cursos técnicos de nível médio, de graduação e de pós-graduação poderão votar e ser votados para as representações discentes do Conselho Superior, bem como participar dos processos eletivos para escolha do Reitor e Diretores-Gerais dos campi.","Art 39 - Somente os alunos com matrícula regular ativa nos cursos técnicos de nível médio, de graduação e de pós-graduação poderão votar e ser votados para as representações discentes do Conselho Superior, bem como participar dos processos eletivos para escolha do Reitor e Diretores-Gerais dos campi.","Estatuto, Título IV, Capítulo I, Art 39"
Quem faz parte do corpo docente do IFSP?,"Os professores integrantes do quadro permanente de pessoal do IFSP, regidos pelo Regime Jurídico Único, e demais professores admitidos na forma da lei.","Art 40 - O corpo docente é constituído pelos professores integrantes do quadro permanente de pessoal do IFSP, regidos pelo Regime Jurídico Único, e demais professores admitidos na forma da lei.","Estatuto, Título IV, Capítulo II, Art 40"
Quais são os servidores que compõem o corpo técnico-administrativo do IFSP?,"Os servidores integrantes do quadro permanente de pessoal do IFSP, regidos pelo Regime Jurídico Único, que exerçam atividades de apoio técnico, administrativo e operacional.","Art 41 - O corpo técnico-administrativo é constituído pelos servidores integrantes do quadro permanente de pessoal do IFSP, regidos pelo Regime Jurídico Único, que exerçam atividades de apoio técnico, administrativo e operacional.","Estatuto, Título IV, Capítulo III, Art 41"
Quem estabelece o regime disciplinar do corpo discente no IFSP?,O Conselho Superior,Art 42 - O regime disciplinar do corpo discente é estabelecido em regulamento próprio aprovado pelo Conselho Superior.,"Estatuto, Título IV, Capítulo IV, Art 42"
Quais são as bases para o regime disciplinar do corpo docente e técnico-administrativo do IFSP?,"As disposições legais, normas e regulamentos sobre a ordem disciplinar e sanções aplicáveis, bem como os recursos cabíveis, previstos pela legislação federal.","Art 43 - O regime disciplinar do corpo docente e técnico-administrativo do IFSP observa as disposições legais, normas e regulamentos sobre a ordem disciplinar e sanções aplicáveis, bem como os recursos cabíveis, previstos pela legislação federal.","Estatuto, Título IV, Capítulo IV, Art 43"
Quais são as competências do IFSP em relação à emissão de diplomas e certificados?,O IFSP expede e registra diplomas em conformidade com a Lei n.º 11.892/2008 e emite certificados a alunos concluintes de cursos e programas.,Art 44 - O IFSP expedirá e registrará seus diplomas em conformidade com o §3º do art. 2º. da Lei n.º 11.892/2008 e emitirá certificados a alunos concluintes de cursos e programas.,"Estatuto, Título V, Art 44"
Quais são as funções do IFSP em relação à acreditação e certificação de competências profissionais?,"O IFSP funciona como instituição acreditadora e certificadora de competências profissionais, nos termos da legislação vigente.","Art 45 - No âmbito de sua atuação, o IFSP funciona como instituição acreditadora e certificadora de competências profissionais, nos termos da legislação vigente.","Estatuto, Título V, Art 45"
Como é estabelecido o regime disciplinar do corpo discente no IFSP?,O regime disciplinar do corpo discente é estabelecido em regulamento próprio aprovado pelo Conselho Superior.,Art 42 - O regime disciplinar do corpo discente é estabelecido em regulamento próprio aprovado pelo Conselho Superior.,"Estatuto, Capítulo IV, Art 42"
Quais são as disposições que regem o regime disciplinar do corpo docente e técnico-administrativo do IFSP?,"O regime disciplinar do corpo docente e técnico-administrativo do IFSP observa as disposições legais, normas e regulamentos sobre a ordem disciplinar e sanções aplicáveis, bem como os recursos cabíveis, previstos pela legislação federal.","Art 43 - O regime disciplinar do corpo docente e técnico-administrativo do IFSP observa as disposições legais, normas e regulamentos sobre a ordem disciplinar e sanções aplicáveis, bem como os recursos cabíveis, previstos pela legislação federal.","Estatuto, Capítulo IV, Art 43"
Quais são as condições para o IFSP conferir títulos de Mérito Acadêmico?,"O IFSP poderá conferir títulos de Mérito Acadêmico, conforme disciplinado no Regimento-Geral.","Art 46 - O IFSP poderá conferir títulos de Mérito Acadêmico, conforme disciplinado no Regimento-Geral.","Estatuto, Título V, Art 46"
O que compõe o patrimônio do IFSP?,"O patrimônio do IFSP é constituído por bens e direitos que compõem o patrimônio da Reitoria e de cada um dos campi que o integram, bens e direitos que vier a adquirir, doações ou legados que receber e incorporações que resultem de serviços por ele realizados.",Art 47 - O patrimônio do IFSP é constituído por: I - bens e direitos que compõem o patrimônio da Reitoria e de cada um dos campi que o integram; II - bens e direitos que vier a adquirir; III - doações ou legados que receber; IV - incorporações que resultem de serviços por ele realizados.,"Estatuto, Título VI - DO PATRIMÔNIO, Art 47"
Como é estabelecido o regime disciplinar do corpo discente do IFSP?,O regime disciplinar do corpo discente é estabelecido em regulamento próprio aprovado pelo Conselho Superior.,Art 42 - O regime disciplinar do corpo discente é estabelecido em regulamento próprio aprovado pelo Conselho Superior.,"Estatuto, Capítulo IV DO REGIME DISCIPLINAR, Art 42"
Quais são as disposições que regem o regime disciplinar do corpo docente e técnico-administrativo do IFSP?,"O regime disciplinar do corpo docente e técnico-administrativo do IFSP observa as disposições legais, normas e regulamentos sobre a ordem disciplinar e sanções aplicáveis, bem como os recursos cabíveis, previstos pela legislação federal.","Art 43 - O regime disciplinar do corpo docente e técnico-administrativo do IFSP observa as disposições legais, normas e regulamentos sobre a ordem disciplinar e sanções aplicáveis, bem como os recursos cabíveis, previstos pela legislação federal.","Estatuto, Capítulo IV DO REGIME DISCIPLINAR, Art 43"
Como o IFSP pode criar órgãos colegiados e comissões?,"O IFSP pode constituir órgãos colegiados de natureza normativa e consultiva e comissões técnicas e/ou administrativas, de acordo com suas necessidades específicas.","Art 48 - O IFSP, conforme suas necessidades específicas, poderá constituir órgãos colegiados de natureza normativa e consultiva e comissões técnicas e/ou administrativas.","Estatuto, Título VII, Art 48"
Quais são os procedimentos para alterar o Estatuto do IFSP?,"A alteração do Estatuto do IFSP exige quorum qualificado de dois terços dos integrantes do Conselho Superior, mediante deliberação em sessão convocada exclusivamente para tal fim.","Art 49 - A alteração do presente Estatuto exigirá quorum qualificado de dois terços dos integrantes do Conselho Superior, mediante deliberação em sessão convocada exclusivamente para tal fim.","Estatuto, Título VII, Art 49"
Quem é responsável por convocar a sessão para alterar o Estatuto do IFSP?,O Reitor ex officio ou a maioria simples dos membros do Conselho Superior são responsáveis por convocar a sessão para alterar o Estatuto do IFSP.,Parágrafo único. A convocação da sessão para os fins do caput será feita pelo Reitor ex officio ou pela maioria simples dos membros do Conselho Superior.,"Estatuto, Título VII, Art 49, Parágrafo único"
Como são tratados os casos omissos no Estatuto do IFSP?,Os casos omissos no Estatuto do IFSP são submetidos à apreciação do Conselho Superior do IFSP.,Art 50 - Os casos omissos neste Estatuto serão submetidos à apreciação do Conselho Superior do IFSP.,"Estatuto, Título VII, Art 50"
Como é estabelecido o regime disciplinar do corpo discente do IFSP?,O regime disciplinar do corpo discente do IFSP é estabelecido em regulamento próprio aprovado pelo Conselho Superior.,Art 42 - O regime disciplinar do corpo discente é estabelecido em regulamento próprio aprovado pelo Conselho Superior.,"Estatuto, Capítulo IV, Art 42"
